Organization Name,Post_Money_Valuation_(in B),Lead Investors Include,Country,Continent,Industry
Boba Network,2,Valour,United States,North America,Financial Services
Olist,2,Wellington Management,Brazil,South America,Enterprise Tech
Perfect Day,2,"CPP Investments, Temasek Holdings",United States,North America,Consumer & Retail
Cognite,2,TCV,Norway,Europe,Consumer & Retail
Collective Health,2,Health Care Service Corporation,United States,North America,Enterprise Tech
MindMaze,2,Concord Health Partners,Switzerland,Europe,Healthcare & Life Sciences
Lusha,2,PSG Equity,United States,North America,Media & Entertainment
Zenoti,2,TPG,United States,North America,Industrials
Built Technologies,2,Citi,United States,North America,Industrials
Paradox,2,"Sapphire Ventures, Stripes",United States,North America,Enterprise Tech
SmartRecruiters,2,Silver Lake Waterman,United States,North America,Healthcare & Life Sciences
Apollo GraphQL,2,Insight Partners,United States,North America,Enterprise Tech
Heartflow,2,Bain Capital Life Sciences,United States,North America,Consumer & Retail
NextSilicon,2,Third Point Ventures,Israel,Asia,Enterprise Tech
1047 Games,2,Lightspeed Venture Partners,United States,North America,Enterprise Tech
HAI ROBOTICS,2,Capital Today,China,Asia,Enterprise Tech
Mu Sigma,2,Mastercard,India,Asia,Financial Services
impact.com,2,Qatar Investment Authority,United States,North America,Enterprise Tech
Strava,2,"Sequoia Capital, TCV",United States,North America,Enterprise Tech
Tujia,2,"All-Stars Investment, Trip.com",China,Asia,Industrials
NotCo,2,Princeville Capital,Chile,South America,Consumer & Retail
Snapdocs,2,Tiger Global Management,United States,North America,Enterprise Tech
Prometheus,2,Maersk Growth,United States,North America,Consumer & Retail
Culture Amp,2,"HSG, TDM Growth Partners",Australia,Oceania,Consumer & Retail
AppDirect,2,Caisse de Depot et Placement du Quebec,United States,North America,Enterprise Tech
Spark Education Group,2,Trustbridge Partners,China,Asia,Enterprise Tech
Uplight,2,"AES, Huck Capital",United States,North America,Enterprise Tech
fabric,2,SoftBank Vision Fund,United States,North America,Financial Services
Berachain,2,"BH Digital, Framework Ventures",United States,North America,Consumer & Retail
Sigma Computing,2,"Avenir, Spark Capital",United States,North America,Financial Services
Pacaso,2,SoftBank Vision Fund,United States,North America,Enterprise Tech
Huntress,2,"Kleiner Perkins, Meritech Capital Partners",United States,North America,Enterprise Tech
Skild AI,2,"Bezos Expeditions, Coatue",United States,North America,Enterprise Tech
Ascend Money,2,MUFG Bank,Thailand,Asia,Industrials
Sakana AI,2,"Global Brain Corporation, JAFCO",Japan,Asia,Consumer & Retail
Tyme Group,2,Nubank,Singapore,Asia,Enterprise Tech
Plata,2,Kora,Mexico,North America,Enterprise Tech
Fleetio,2,"Elephant, Goldman Sachs Alternatives",United States,North America,Enterprise Tech
Chapter,2,Stripes,United States,North America,Enterprise Tech
Kushki,2,"Hedosophia, Kaszek",Ecuador,South America,Healthcare & Life Sciences
Yubi,2,"B Capital, Dragoneer Investment Group",India,Asia,Industrials
Rad Power Bikes,2,Fidelity,United States,North America,Consumer & Retail
Upside,2,General Catalyst,United States,North America,Insurance
Arcadia,2,Macquarie Asset Management,United States,North America,Healthcare & Life Sciences
Mashgin,2,New Enterprise Associates,United States,North America,Consumer & Retail
Dock,2,"Lightrock, Silver Lake Waterman",Brazil,South America,Enterprise Tech
Vayyar,2,Koch Disruptive Technologies,Israel,Asia,Enterprise Tech
5ire,2,SRAM & MRAM,United Kingdom,Europe,Financial Services
Orna Therapeutics,2,Merck KGaA,United States,North America,Consumer & Retail
Tailscale,2,Accel,Canada,North America,Enterprise Tech
Jasper,2,Insight Partners,Canada,North America,Consumer & Retail
HashKey,2,Gaorong Capital,Hong Kong,Asia,Healthcare & Life Sciences
Chunqing Technology,2,"Boyu Capital, Guangzhou Yuexiu Industrial Investment Fund",China,Asia,Financial Services
Xpressbees,2,Teachers’ Venture Growth,India,Asia,Financial Services
OpenWeb,2,Georgian,United States,North America,Healthcare & Life Sciences
Stord,2,Strike Capital,United States,North America,Consumer & Retail
slice,2,Tiger Global Management,India,Asia,Enterprise Tech
Placer.ai,2,"Buckley Ventures, Josh Buckley",United States,North America,Enterprise Tech
SellerX,1,Sofina,Germany,Europe,Consumer & Retail
PAPER,1,"Sapphire Ventures, SoftBank Vision Fund",Canada,North America,Healthcare & Life Sciences
InMyShow,1,"SAIF Partners, SINA Corporation",China,Asia,Consumer & Retail
Dt Dream,1,"Zhejiang State Enterprise Reform and Development Fund, ZSVC",China,Asia,Enterprise Tech
Cult.fit,1,Valecha Investments,India,Asia,Consumer & Retail
eSign,1,,China,Asia,Media & Entertainment
Panshi,1,Cybernaut Venture Capital,China,Asia,Industrials
Snack Is Busy,1,"Haoxiangni Jujube Industry, Yankershop Food",China,Asia,Healthcare & Life Sciences
Yuze Semiconductor,1,,China,Asia,Media & Entertainment
Huasun Energy,1,China Green Development Investment Group,China,Asia,Financial Services
Job&Talent,1,"Kinnevik, SoftBank Vision Fund",Spain,Europe,Financial Services
Judo Bank,1,,Australia,Oceania,Industrials
Ouyeel,1,,China,Asia,Consumer & Retail
Tuandaiwang,1,China Minsheng Investment Group,China,Asia,Financial Services
United Aircraft,1,Longjiang Fund,,,Industrials
IAD France,1,Insight Partners,France,Europe,Healthcare & Life Sciences
Aleo,1,"Kora, SoftBank Vision Fund",United States,North America,Industrials
M1 Holdings,1,SoftBank Vision Fund,United States,North America,Enterprise Tech
Amagi Media Labs,1,General Atlantic,United States,North America,Enterprise Tech
Coocaa,1,Baidu,China,Asia,Financial Services
T3 Mobile Travel Services,1,CITIC Capital Holdings,China,Asia,Insurance
Netradyne,1,Point72 Ventures,United States,North America,Healthcare & Life Sciences
Seasun Games,1,Tencent,China,Asia,Enterprise Tech
Ledger,1,Molten Ventures,France,Europe,Enterprise Tech
Ryefield Energy,1,Sparkedge Capital,China,Asia,Industrials
Soterea,1,Ping An Capital,China,Asia,Enterprise Tech
Bordrin Motors,1,,China,Asia,Enterprise Tech
Scalable Capital,1,Balderton Capital,Germany,Europe,Financial Services
GupShup,1,Tiger Global Management,United States,North America,Media & Entertainment
Clarify Health Solutions,1,SoftBank Vision Fund,United States,North America,Enterprise Tech
Rebel Foods,1,Qatar Investment Authority,India,Asia,Healthcare & Life Sciences
Figment,1,Thoma Bravo,United States,North America,Industrials
Yotpo,1,Shopify,United States,North America,Media & Entertainment
Panther,1,Coatue,United States,North America,Enterprise Tech
VideoAmp,1,Vista Credit Partners,United States,North America,Consumer & Retail
Salt Security,1,CrowdStrike Falcon Fund,United States,North America,Enterprise Tech
Envoy,1,Brookfield Growth,United States,North America,Consumer & Retail
Deliverect,1,"Alkeon Capital, Coatue",Belgium,Europe,Enterprise Tech
Astranis,1,"Andreessen Horowitz, BAM Elevate",United States,North America,Enterprise Tech
Away,1,Wellington Management,United States,North America,Consumer & Retail
Cabify,1,Mutua Madrileña,Spain,Europe,Industrials
Tripledot Studios,1,The Twenty Minute VC,United Kingdom,Europe,Enterprise Tech
Pristyn Care,1,Sequoia Capital,India,Asia,Insurance
Epidemic Sound,1,"Blackstone Group, EQT",Sweden,Europe,Healthcare & Life Sciences
Papa,1,SoftBank Vision Fund,United States,North America,Financial Services
Maya,1,Susquehanna International Group,Philippines,Asia,Media & Entertainment
Degreed,1,"Riverwood Capital, Sapphire Ventures",United States,North America,Enterprise Tech
Stash,1,Goodwater Capital,United States,North America,Insurance
Firebolt,1,Alkeon Capital,Israel,Asia,Industrials
Hike,1,Jump Crypto,India,Asia,Enterprise Tech
Symphony Communication Services,1,"Mitsubishi UFJ Financial Group, Standard Chartered Bank",United States,North America,Consumer & Retail
TaxBit,1,IQT,United States,North America,Enterprise Tech
Route,1,Hanaco Venture Capital,United States,North America,Enterprise Tech
Paddle,1,Kohlberg Kravis Roberts,United Kingdom,Europe,Industrials
OHouse,1,Bond,South Korea,Asia,Insurance
Wealthfront,1,UBS,United States,North America,Consumer & Retail
LIQUiDITY Group,1,MUFG Bank,United States,North America,Financial Services
Liquid Death,1,Science,,,Financial Services
AI21 Labs,1,"Google, NVIDIA",Israel,Asia,Enterprise Tech
eFishery,1,G42 Expansion Fund,Indonesia,Asia,Consumer & Retail
Nium,1,Moore Strategic Ventures,Singapore,Asia,Consumer & Retail
Phenom,1,B Capital,United States,North America,Enterprise Tech
Eon,1,Bond,United States,North America,Enterprise Tech
Aragen Life Sciences,1,Quadria Capital,India,Asia,Enterprise Tech
Avathon,1,"AEI Horizon X, Alan Howard",United States,North America,Consumer & Retail
Employment Hero,1,TCV,Australia,Oceania,Healthcare & Life Sciences
CanSemi,1,Guangzhou Industrial Investment Group,China,Asia,Enterprise Tech
FPL Technologies,1,MacRitchie Investments,India,Asia,Enterprise Tech
OVO Energy,1,Mitsubishi Corporation,United Kingdom,Europe,Enterprise Tech
Neon,1,M12 - Microsoft's Venture Fund,Brazil,South America,Industrials
Xingji Meizu,1,"Asia Investment Fund, Harvest Global Investments",China,Asia,Financial Services
LONGi Hydrogen Energy,1,,,,Industrials
EverlyWell,1,Trish Costello,United States,North America,Industrials
Narwal Robotics,1,"Beijing Robot Industry Fund, Tencent",China,Asia,Industrials
Included Health,1,The Carlyle Group,United States,North America,Consumer & Retail
Movable Ink,1,Silver Lake Waterman,United States,North America,Industrials
SingleStore,1,"Goldman Sachs, Prosperity7 Ventures",United States,North America,Financial Services
Epirus,1,"8VC, Washington Harbour Partners",United States,North America,Financial Services
At-Bay,1,ION Crossover Partners,United States,North America,Consumer & Retail
Weidian Group,1,Tencent,China,Asia,Enterprise Tech
New Leshi Smart Home,1,"JD.com, Sunac China Holdings",China,Asia,Enterprise Tech
ONE Championship,1,Qatar Investment Authority,Singapore,Asia,Enterprise Tech
Jaguar Microsystems,1,Tencent,China,Asia,Enterprise Tech
GP Club,1,,South Korea,Asia,Insurance
Signifyd,1,Owl Rock Capital,United States,North America,Healthcare & Life Sciences
RIDI,1,GIC,South Korea,Asia,Industrials
stc pay,1,Western Union,Saudi Arabia,Asia,Industrials
Human Interest,1,"Baillie Gifford, Marshall Wace",United States,North America,Healthcare & Life Sciences
TEKEVER,1,"Baillie Gifford, NATO Innovation Fund",Portugal,Europe,Enterprise Tech
AG1,1,Alpha Wave Global,United States,North America,Enterprise Tech
Pilot,1,"Bezos Expeditions, Sequoia Capital",United States,North America,Industrials
Gymshark,1,General Atlantic,United Kingdom,Europe,Financial Services
Intercom,1,Kleiner Perkins,United States,North America,Financial Services
Yugabyte,1,Sapphire Ventures,United States,North America,Enterprise Tech
CoinTracker,1,Accel,United States,North America,Financial Services
iTrustCapital Inc.,1,Left Lane Capital,United States,North America,Enterprise Tech
Konfio,1,"QED Investors, Tarsadia Capital",Mexico,North America,Healthcare & Life Sciences
Domestika,1,Zeev Ventures,United States,North America,Industrials
Betterment,1,Treasury,United States,North America,Enterprise Tech
Flock Freight,1,O'Neil Strategic Capital,United States,North America,Healthcare & Life Sciences
Haihe Biopharma,1,Warburg Pincus,China,Asia,Enterprise Tech
Kr Space,1,"Gopher Asset Management, IDG Capital",China,Asia,Consumer & Retail
Loadsmart,1,SOFTBANK Latin America Ventures,United States,North America,Media & Entertainment
Clipboard Health,1,Sequoia Capital,United States,North America,Media & Entertainment
Optibus,1,Volvo Group Venture Capital,Israel,Asia,Media & Entertainment
Equashield,1,,United States,North America,Enterprise Tech
MasterControl,1,Sixth Street,United States,North America,Media & Entertainment
Mapbox,1,SoftBank,United States,North America,Financial Services
Keyfactor,1,Sixth Street,United States,North America,Industrials
Doc.com,1,Silver Rock Group,United States,North America,Enterprise Tech
Lukka,1,Animoca Capital,United States,North America,Financial Services
Linktree,1,"Coatue, Index Ventures",Australia,Oceania,Financial Services
Zum,1,GIC,United States,North America,Enterprise Tech
DistroKid,1,Insight Partners,United States,North America,Media & Entertainment
24M Technologies,1,Nuovo Plus,United States,North America,Enterprise Tech
Underdog Fantasy,1,Spark Capital,United States,North America,Enterprise Tech
Wilson Wolf Corporation,1,Bio-Techne,United States,North America,Healthcare & Life Sciences
BYD Semiconductor,1,,China,Asia,Healthcare & Life Sciences
Gemini,1,Draper Dragon,United States,North America,Enterprise Tech
Zhidou,1,Geely,China,Asia,Healthcare & Life Sciences
1mg,1,Tata Digital,India,Asia,Industrials
The Good Glamm Group,1,Warburg Pincus,India,Asia,Industrials
Juwan Technology,1,Guangzhou Automobile Group,China,Asia,Enterprise Tech
Purplle,1,"Abu Dhabi Investment Authority, Premji Invest",India,Asia,Enterprise Tech
Talos,1,General Atlantic,United States,North America,Enterprise Tech
ClassDojo,1,Tencent,United States,North America,Health
Chipper Cash,1,Alameda Research,United States,North America,Financial Services
Flipdish,1,Tencent,Ireland,Europe,Enterprise Tech
Incode Technologies,1,"General Atlantic, SoftBank",United States,North America,Enterprise Tech
Tackle,1,"Andreessen Horowitz, Coatue",United States,North America,Enterprise Tech
Kuaikan Manhua,1,Tencent,China,Asia,Enterprise Tech
Sidewalk Infrastructure Partners,1,StepStone Group,United States,North America,Consumer & Retail
Honor,1,Baillie Gifford,United States,North America,Insurance
CaptivateIQ,1,"Accel, ICONIQ Growth",United States,North America,Industrials
airSlate,1,G Squared,United States,North America,Industrials
Clay,1,Meritech Capital Partners,United States,North America,Enterprise Tech
Belief BioMed,1,Qiming Venture Partners,China,Asia,Industrials
Grover,1,Energy Impact Partners,Germany,Europe,Industrials
Instabase,1,Qatar Investment Authority,United States,North America,Industrials
SeatGeek,1,Accel,United States,North America,Financial Services
ETCP,1,Wanda E-Commerce,China,Asia,Enterprise Tech
inDrive,1,Insight Partners,United States,North America,Media & Entertainment
MicroPort CardioFlow,1,,China,Asia,Media & Entertainment
Spiber,1,The Carlyle Group,Japan,Asia,Enterprise Tech
Public,1,Accel,United States,North America,Enterprise Tech
TBM,1,SK Group,Japan,Asia,Financial Services
Castore,1,Raine Ventures,United Kingdom,Europe,Enterprise Tech
Moneyview,1,Accel,India,Asia,Consumer & Retail
Clean Planet,1,Miura Co,Japan,Asia,Enterprise Tech
Workhuman,1,Atlas Venture,Ireland,Europe,Enterprise Tech
Viz,1,CIBC Innovation Banking,United States,North America,Financial Services
Mensa Brands,1,Alpha Wave Global,India,Asia,Financial Services
Gem,1,ICONIQ Growth,United States,North America,Industrials
Copado,1,Insight Partners,United States,North America,Enterprise Tech
MindTickle,1,SoftBank Vision Fund,United States,North America,Financial Services
Choco,1,G Squared,Germany,Europe,Enterprise Tech
Ada,1,Spark Capital,Canada,North America,Consumer & Retail
CarDekho,1,Navis Capital Partners,India,Asia,Consumer & Retail
Berlin Brands Group,1,Ardian,Germany,Europe,Financial Services
SeekOut,1,Tiger Global Management,United States,North America,Enterprise Tech
Qumulo,1,BlackRock Private Equity Partners,United States,North America,Industrials
Offchain Labs,1,Lightspeed Venture Partners,United States,North America,Media & Entertainment
Human Longevity,1,TVM Capital Healthcare,United States,North America,Consumer & Retail
Multichain,1,YZi Labs,Singapore,Asia,Consumer & Retail
SmartMore Corporation Limited,1,Hong Kong Investment Corporation Limited,China,Asia,Financial Services
Dianrong,1,"Affirma Capital, Standard Chartered Private Equity",China,Asia,Enterprise Tech
BigPanda,1,"UBS, Wells Fargo Strategic Capital",United States,North America,Consumer & Retail
iCarbonX,1,China Bridge Capital,China,Asia,Consumer & Retail
Tealium,1,"Georgian, Silver Lake Waterman",United States,North America,Consumer & Retail
Hailo,1,"Gil Agmon, Poalim Equity",Israel,Asia,Consumer & Retail
Oyster,1,ServiceNow Ventures,United States,North America,Consumer & Retail
Unit,1,Insight Partners,United States,North America,Healthcare & Life Sciences
Stori,1,"BAI capital, Notable Capital",Mexico,North America,Consumer & Retail
Our Next Energy,1,Crescent Ventures,United States,North America,Consumer & Retail
Porter,1,"Kedaara Capital, Wellington Management",India,Asia,Healthcare & Life Sciences
EGYM,1,"L Catterton, Meritech Capital Partners",Germany,Europe,Financial Services
ZYBER 365,1,SRAM & MRAM,India,Asia,Industrials
Figure,1,Morgan Creek Digital,United States,North America,Industrials
AgentSync,1,"Craft Ventures, Valor Ventures",United States,North America,Financial Services
Vectra AI,1,TCV,United States,North America,Media & Entertainment
Merama,1,monashees,Mexico,North America,Healthcare & Life Sciences
Iyuno-SDI,1,IMM Investment,United States,North America,Industrials
Form Energy,1,T. Rowe Price,United States,North America,Enterprise Tech
boAt,1,Qualcomm Ventures,India,Asia,Enterprise Tech
Qdama,1,Hezhi Investment,China,Asia,Healthcare & Life Sciences
Creatio,1,Sapphire Ventures,United States,North America,Consumer & Retail
Helium,1,"Andreessen Horowitz, Tiger Global Management",United States,North America,Consumer & Retail
Hightouch,1,Sapphire Ventures,United States,North America,Financial Services
Nerdio,1,General Atlantic,United States,North America,Industrials
Livspace,1,Kohlberg Kravis Roberts,India,Asia,Industrials
Droom,1,"Finvolve, IA Growth Opportunities Fund",India,Asia,Financial Services
XLMEC,1,China Integrated Circuit Industry Investment Fund (CICF),China,Asia,Industrials
Flip,1,Streamlined Ventures,United States,North America,Consumer & Retail
Mews,1,Tiger Global Management,United Kingdom,Europe,Consumer & Retail
Shiprocket,1,KdT Ventures,India,Asia,Enterprise Tech
Rohlik,1,European Bank for Reconstruction and Development,Czech Republic,Europe,Industrials
V3 Group,1,Kohlberg Kravis Roberts,Singapore,Asia,Enterprise Tech
Arqiva,1,CPP Investments,United Kingdom,Europe,Industrials
Proteus Digital Health,1,Harbin Gloria Pharmaceuticals,United States,North America,Consumer & Retail
Modern Health,1,Founders Fund,United States,North America,Industrials
Innovusion,1,Hermitage Capital,United States,North America,Consumer & Retail
Fenergo,1,"Astorg, Bridgepoint",Ireland,Europe,Media & Entertainment
Alisports,1,YF Capital,China,Asia,Financial Services
Replit,1,Craft Ventures,United States,North America,Financial Services
Alphaeon,1,Sailing Capital,United States,North America,Financial Services
E-Life Financial Services,1,H Capital Advance,China,Asia,Consumer & Retail
UnionTech,1,Beijing E-town International Investment & Development,China,Asia,Consumer & Retail
CloudBees,1,Goldman Sachs Asset Management,United States,North America,Consumer & Retail
Happy Money,1,TruStage Ventures,United States,North America,Consumer & Retail
Elemy,1,"Goodwater Capital, Premji Invest",United States,North America,Healthcare & Life Sciences
Rebellion Defense,1,"Insight Partners, Venrock",United States,North America,Enterprise Tech
Boom Supersonic,1,NEOM Investment Fund,United States,North America,Healthcare & Life Sciences
Guideline,1,General Atlantic,United States,North America,Media & Entertainment
DevRev,1,"Khosla Ventures, Mayfield Fund",United States,North America,Consumer & Retail
Dotc United Group,1,Zeus Entertainment,China,Asia,Enterprise Tech
Spendesk,1,Tiger Global Management,France,Europe,Industrials
Jiuxian,1,HSG,China,Asia,Enterprise Tech
TalkingData,1,VCI Global,China,Asia,Media & Entertainment
DANA,1,,Indonesia,Asia,Consumer & Retail
Tines,1,GS Growth,Ireland,Europe,Financial Services
SKIO Matrix,1,IDG Capital,China,Asia,Enterprise Tech
RootCloud,1,IDG Capital,China,Asia,Industrials
Enable,1,Lightspeed Venture Partners,United States,North America,Industrials
Teld New Energy,1,"CDH Investments, China Reform Holdings Corporation",China,Asia,Industrials
NewsBreak,1,Francisco Partners,United States,North America,Consumer & Retail
L&P Cosmetic,1,Credit Suisse,South Korea,Asia,Consumer & Retail
Nexthink,1,Permira,Switzerland,Europe,Enterprise Tech
Chemao,1,ZHEFU Holding,China,Asia,Enterprise Tech
Keyuan Petrochemicals,1,Shanghai Fosun High Technology,China,Asia,Healthcare & Life Sciences
Inspur Cloud,1,"CCB International, China Minsheng Bank",China,Asia,Healthcare & Life Sciences
Staffbase,1,General Atlantic,Germany,Europe,Financial Services
Chief,1,CapitalG,United States,North America,Media & Entertainment
Apna,1,Tiger Global Management,India,Asia,Enterprise Tech
CAIS,1,Hamilton Lane,United States,North America,Insurance
IntelyCare,1,Janus Henderson Investors,United States,North America,Healthcare & Life Sciences
G2,1,"Permira, Salesforce Ventures",United States,North America,Financial Services
Carousell,1,GoTo Group,Singapore,Asia,Enterprise Tech
People.ai,1,"Akkadian Ventures, Mubadala Capital Ventures",United States,North America,Financial Services
eSentire,1,"Caisse de Depot et Placement du Quebec, Georgian",Canada,North America,Healthcare & Life Sciences
Beyond Identity,1,Evolution Equity Partners,United States,North America,Enterprise Tech
Zego,1,"DST Global, General Catalyst",United Kingdom,Europe,Industrials
Acko,1,General Atlantic,India,Asia,Media & Entertainment
Karat,1,Serena Williams,United States,North America,Enterprise Tech
Sunbit,1,Group 11,United States,North America,Consumer & Retail
SonderMind,1,"Drive Capital, Premji Invest",United States,North America,Insurance
Pharmapacks,1,The Carlyle Group,United States,North America,Consumer & Retail
GlobalBees,1,Premji Invest,India,Asia,Media & Entertainment
Yijiupi,1,Tencent,China,Asia,Enterprise Tech
Fundbox,1,Healthcare of Ontario Pension Plan (HOOPP),United States,North America,Financial Services
LEAD,1,"GSV Ventures, WestBridge Capital",India,Asia,Financial Services
Rightway,1,Khosla Ventures,United States,North America,Consumer & Retail
Infobip,1,One Equity Partners,United Kingdom,Europe,Financial Services
Deputy,1,Express Employment Professionals,Australia,Oceania,Industrials
Tango Me,1,Alibaba Group,United States,North America,Healthcare & Life Sciences
Humanity Protocol,1,"Jump Crypto, Pantera Capital",,,Healthcare & Life Sciences
Invoca,1,Silver Lake Waterman,United States,North America,Industrials
Nowports,1,SOFTBANK Latin America Ventures,Mexico,North America,Industrials
Recover,1,Goldman Sachs Asset Management,Spain,Europe,Insurance
Daily Harvest,1,"Lone Pine Capital, Suttona Capital",United States,North America,Enterprise Tech
Dream Security,1,Bain Capital Ventures,Israel,Asia,Enterprise Tech
Statsig,1,ICONIQ Growth,United States,North America,Media & Entertainment
Imply,1,Thoma Bravo,United States,North America,Financial Services
Wasabi Technologies,1,"Azura Partners, SiS Distribution Thailand",United States,North America,Financial Services
Teleport,1,Bessemer Venture Partners,United States,North America,Enterprise Tech
Material Security,1,Founders Fund,United States,North America,Enterprise Tech
Caribou,1,Goldman Sachs,United States,North America,Consumer & Retail
Rapido,1,Prosus Ventures,India,Asia,Financial Services
Lendbuzz,1,Group1001,United States,North America,Enterprise Tech
The Bank of London,1,Mangrove Capital Partners,United Kingdom,Europe,Enterprise Tech
Letu,1,CICC Capital,China,Asia,Media & Entertainment
Nxin,1,"Beijing Junenghesheng Industry Investment Fund, Beijing Shuju Xinrong Investment Management",China,Asia,Healthcare & Life Sciences
Earnix,1,Insight Partners,Israel,Asia,Financial Services
LeCloud,1,Chongqing Industry Investment Fund,China,Asia,Consumer & Retail
Amarenco,1,Arjun Infrastructure Partners,Ireland,Europe,Enterprise Tech
Cirkul,1,SC.Holdings,United States,North America,Enterprise Tech
Rivigo,1,"Elevation Capital, Spring Canter Investment",India,Asia,Consumer & Retail
Veepee,1,Qatar Holding,France,Europe,Healthcare & Life Sciences
MobileCoin,1,"Future Ventures, General Catalyst",United States,North America,Media & Entertainment
Radius Payment Solutions,1,Inflexion,United Kingdom,Europe,Industrials
Scivita Medical Technology,1,"GL Ventures LLC, Lilly Asia Ventures",China,Asia,Consumer & Retail
Yi'an Holdings,1,Zhongling Shanghai Investment,China,Asia,Consumer & Retail
Branch,1,Weatherford Capital,United States,North America,Industrials
Density,1,Kleiner Perkins,United States,North America,Healthcare & Life Sciences
Mixpanel,1,Bain Capital Tech Opportunities,United States,North America,Financial Services
Sendbird,1,Steadfast Financial,United States,North America,Financial Services
Luoji Siwei,1,ZhenFund,China,Asia,Financial Services
Zopa,1,A.P. Moller Holding,United Kingdom,Europe,Consumer & Retail
Element Biosciences,1,Wellington Management,United States,North America,Enterprise Tech
Bluepha,1,Zhongping Capital,China,Asia,Industrials
Astronergy,1,Yunhao Capital,China,Asia,Consumer & Retail
Chint New Energy,1,Yunhao Capital,China,Asia,Consumer & Retail
Aijia Home Furnishing Products,1,Tiantu Capital,China,Asia,Consumer & Retail
B&C Chemical,1,"China Development Bank Capital, Zhongping Capital",China,Asia,Healthcare & Life Sciences
Miaoshou Doctor,1,"Sequoia Capital, Tencent",China,Asia,Financial Services
Splashtop,1,Sapphire Ventures,United States,North America,Consumer & Retail
Veritas Finance,1,Multiples,India,Asia,Financial Services
Chinac.com,1,Orient Securities Capital Investment,China,Asia,Enterprise Tech
Morning Consult,1,Advance Venture Partners,United States,North America,Enterprise Tech
"Kong Studios, Inc.",1,DSC Investment,United States,North America,Consumer & Retail
Qiyuan Core Power Technology,1,Contemporary Amperex Technology,China,Asia,Enterprise Tech
Electric,1,Harmonic Growth Partners,United States,North America,Financial Services
Juanpi,1,"China Merchants Bank, Tiantu Capital",China,Asia,Enterprise Tech
NoBroker,1,Google,India,Asia,Financial Services
Gaussian Robot,1,Jintuo Capital,China,Asia,Healthcare & Life Sciences
Zihaiguo,1,Beijing Taikang Investment,China,Asia,Industrials
Aqara,1,Shenzhen Capital Group,China,Asia,Consumer & Retail
TrustDecision,1,China Merchants Venture Capital,China,Asia,Industrials
Polarium,1,AMF,Sweden,Europe,Enterprise Tech
Perfios Software Solutions,1,Teachers’ Venture Growth,India,Asia,Enterprise Tech
NAVER Z,1,Krafton,South Korea,Asia,Consumer & Retail
Gelato,1,Insight Partners,Norway,Europe,Enterprise Tech
Lanhu,1,GGV Capital,China,Asia,Enterprise Tech
InCred,1,Ranjan Pai,India,Asia,Media & Entertainment
Augury,1,Lightrock,United States,North America,Industrials
Amount,1,Curql,United States,North America,Consumer & Retail
Lydia,1,"Accel, Dragoneer Investment Group",France,Europe,Financial Services
SmartMi International Limited,1,GIC,China,Asia,Enterprise Tech
Wifi Skeleton Key,1,Eight Roads Ventures,China,Asia,Healthcare & Life Sciences
Pentera,1,Evolution Equity Partners,Israel,Asia,Enterprise Tech
Meero,1,"Avenir, Eurazeo",France,Europe,Financial Services
Huasheng Haoche,1,Crescent Point,China,Asia,Financial Services
Swile,1,"Hedosophia, SoftBank",France,Europe,Financial Services
Emplifi,1,Sixth Street,United States,North America,Enterprise Tech
CargoX,1,"SOFTBANK Latin America Ventures, Tencent",Brazil,South America,Enterprise Tech
XTransfer,1,D1 Capital Partners,China,Asia,Healthcare & Life Sciences
Lianshang Literature,1,HOPU Investment Management Company,China,Asia,Enterprise Tech
GeoComply,1,"Arctos Sports Partners, Norwest Venture Partners",Canada,North America,Consumer & Retail
Carson Group,1,Bain Capital,United States,North America,Consumer & Retail
Iodine Software,1,Advent International,United States,North America,Financial Services
Kendra Scott Design,1,65 Equity Partners,United States,North America,Consumer & Retail
VNG,1,CyberAgent Capital,Vietnam,Asia,Enterprise Tech
JD.ID,1,Gojek,Indonesia,Asia,Healthcare & Life Sciences
Grupo Axo,1,BlackRock Private Equity Partners,Mexico,North America,Consumer & Retail
Xiaoice,1,Hillhouse Investment,China,Asia,Industrials
Quikr,1,"Kinnevik, Tiger Global Management",India,Asia,Industrials
Beamery,1,Teachers’ Venture Growth,United Kingdom,Europe,Consumer & Retail
Factorial,1,Atomico,Spain,Europe,Industrials
Open Financial Technologies,1,IIFL Finance,India,Asia,Media & Entertainment
MSquared,1,"Andreessen Horowitz, SoftBank Vision Fund",United Kingdom,Europe,Enterprise Tech
UPSIDE Foods,1,"Abu Dhabi Growth Fund, Temasek Holdings",United States,North America,Industrials
NexHealth,1,Buckley Ventures,United States,North America,Enterprise Tech
Instabox,1,Swedbank Robur,Sweden,Europe,Enterprise Tech
Divergent,1,Hexagon,United States,North America,Enterprise Tech
iSpot.tv,1,Goldman Sachs,United States,North America,Financial Services
Good Choice Company,1,,South Korea,Asia,Enterprise Tech
reMarkable,1,Spark Capital,Norway,Europe,Enterprise Tech
Habi,1,"Homebrew, SOFTBANK Latin America Ventures",Colombia,South America,Enterprise Tech
Opn,1,"SCB 10X, SPARX Group",Japan,Asia,Enterprise Tech
Semperis,1,"Hercules Capital, JP Morgan",United States,North America,Enterprise Tech
TransferMate,1,RPMI Railpen,Ireland,Europe,Enterprise Tech
Velocity Global,1,"Eldridge Industries, Norwest Venture Partners",United States,North America,Enterprise Tech
JupiterOne,1,Tribe Capital,United States,North America,Enterprise Tech
