Organization Name,Post_Money_Valuation_(in B),Date Joined,Country,City,Industry,Select Investors
Cart.com,1.2,6/27/23,United States,Austin,Consumer & Retail,"Mercury Fund, Bearing Ventures, Moonshots Capital"
Replit,1.1,4/25/23,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Bloomberg Beta, Reach Capital"
Creatio,1.2,6/25/24,United States,Boston,Enterprise Tech,Sapphire Ventures
Our Next Energy,1.2,2/1/23,United States,Novi,Industrials,"BMW i Ventures, Breakthrough Energy Ventures, Volta Energy Technologies"
Oyster,1.2,4/20/22,United States,Wilmington,Enterprise Tech,"Emergence Capital, Slack Fund, PayPal Ventures"
Glossier,1.7,3/19/19,United States,New York,Consumer & Retail,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital"
Qumulo,1.2,7/16/20,United States,Seattle,Enterprise Tech,"Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners"
Tealium,1.2,2/3/21,United States,San Diego,Enterprise Tech,"Georgian Partners, Silver Lake, Presidio Ventures"
Public,1.2,2/17/21,United States,New York,Financial Services,"Accel, Greycroft, Advancit Capital"
Pilot,1.2,3/26/21,United States,San Francisco,Financial Services,"Index Ventures, Sequoia Capital, Bezos Expeditions"
Vectra Networks,1.2,4/29/21,United States,San Jose,Enterprise Tech,"IA Ventures, Khosla Ventures, AME Cloud Ventures"
MindTickle,1.2,8/3/21,United States,San Francisco,Enterprise Tech,"Qualcomm Ventures, Accel, Canaan Partners"
Offchain Labs,1.2,8/31/21,United States,Princeton,Enterprise Tech,"Pantera Capital, Polychain Capital, Lightspeed Venture Partners"
Copado,1.2,9/13/21,United States,Chicago,Enterprise Tech,"Insight Partners, Salesforce Ventures, Perpetual Investors"
Gem,1.2,9/28/21,United States,San Francisco,Enterprise Tech,"Accel, Greylock Partners, Meritech Capital Partners"
AgentSync,1.2,12/7/21,United States,Denver,Insurance,"Craft Ventures, Caffeinated Capital, Operator Collective"
SeekOut,1.2,1/12/22,United States,Bellevue,Enterprise Tech,"Mayfield, Madrona Venture Group, Tiger Global Management"
BigPanda,1.2,1/12/22,United States,Mountain View,Enterprise Tech,"Advent International, Battery Ventures, Sequoia Capital Israel"
Phantom,1.2,1/31/22,United States,San Francisco,Financial Services,"Paradigm, Andreessen Horowitz, Jump Capital"
Nova Labs,1.2,2/22/22,United States,San Francisco,Enterprise Tech,"FirstMark Capital, Tiger Global Management, FTX Venture"
Viz.ai,1.2,4/7/22,United States,San Francisco,Healthcare & Life Sciences,"Kleiner Perkins Caufield & Byers, CRV, Threshold Ventures"
Unit,1.2,5/17/22,United States,New York,Financial Services,"Accel, Better Tomorrow Ventures, Flourish Ventures"
Swiftly,1.2,9/19/22,United States,Seattle,Consumer & Retail,"Mendacre, BRV Capital Management, Liquid 2 Ventures"
CloudBees,1.2,12/9/21,United States,San Jose,Enterprise Tech,"Matrix Partners, Lightspeed Venture Partners, Verizon Ventures"
DevRev,1.2,7/25/24,United States,Palo Alto,Enterprise Tech,"Khosla Ventures, Mayfield, Alumni Ventures"
Colossal,1.2,1/31/23,United States,Austin,Healthcare & Life Sciences,"Animal Capital, Breyer Capital, In-Q-Tel"
Modern Health,1.2,2/11/21,United States,San Francisco,Healthcare & Life Sciences,"Kleiner Perkins Caufield & Byers, Afore Capital, Founders Fund"
IRL,1.2,6/15/21,United States,San Francisco,Media & Entertainment,"Goodwater Capital, Floodgate, Founders Fund"
SOURCE Global,1.2,4/29/22,United States,Scottsdale,Industrials,"Breakthrough Energy Ventures, Material Impact, 3x5 Special Opportunity Partners"
Guideline,1.2,6/16/21,United States,San Mateo,Financial Services,"Pelion Venture Partners, Foundation Capital, Thoma Bravo"
Rebellion Defense,1.2,9/16/21,United States,Washington DC,Industrials,"Venrock, Innovation Endeavors, Insights Partners"
Elemy,1.2,10/6/21,United States,San Francisco,Healthcare & Life Sciences,"General Catalyst, Bling Capital, Felicis Ventures"
Chainguard,1.1,7/25/24,United States,Kirkland,Enterprise Tech,"Amplify Partners, MANTIS Venture Capital, Sequoia Capital"
Enable,1.1,11/7/23,United States,San Francisco,Enterprise Tech,"Menlo Ventures, Norwest Venture Partners, Sierra Ventures"
At-Bay,1.1,7/27/21,United States,Mountain View,Insurance,"Lightspeed Venture Partners, Khosla Ventures, Munich Re Ventures"
Visby Medical,1.1,3/1/22,United States,San Jose,Healthcare & Life Sciences,"Artiman Ventures, Pitango Venture Capital, Valo Ventures"
Invoca,1.1,6/14/22,United States,Santa Barbara,Enterprise Tech,"Upfront Ventures, Accel, Industry Ventures"
ElevenLabs,1.1,1/22/24,United States,New York,Enterprise Tech,"Andreessen Horowitz, Credo Ventures, Sequoia Capital"
Wasabi,1.1,9/27/22,United States,Boston,Enterprise Tech,"Forestay Capital, Alumni Ventures, NTT DoCoMo Ventures"
Rokid,1,11/20/23,United States,Redwood City,Media & Entertainment,"IDG Capital, MFund, Linear Venture"
Headway,1,10/5/23,United States,Orlando,Healthcare & Life Sciences,"Accel, Thrive Capital, Andreessen Horowitz"
Flexe,1,4/21/22,United States,Seattle,Industrials,"Redpoint Ventures, Prologis Ventures, Madrona Venture Group"
TangoMe,1.1,3/20/14,United States,Mountain View,Media & Entertainment,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group"
AppDirect,1.1,10/7/15,United States,San Francisco,Enterprise Tech,"Mithril, iNovia Capital, Foundry Group"
Ivalua,1.1,5/21/19,United States,Redwood City,Enterprise Tech,"Ardian, Tiger Global Management, KKR"
Sisense,1.1,1/9/20,United States,New York,Enterprise Tech,"Opus Capital, Genesis Partners, Battery Ventures"
Pharmapacks,1.1,11/12/20,United States,Islandia,Consumer & Retail,The Carlyle Group
Rightway,1.1,3/30/21,United States,New York,Healthcare & Life Sciences,"Thrive Capital, Khosla Ventures, Tiger Global Management"
Sunbit,1.1,5/20/21,United States,Los Angeles,Financial Services,"Zeev Ventures, Group11, Chicago Ventures"
G2,1.1,6/22/21,United States,Chicago,Enterprise Tech,"Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners"
Caribou,1.1,5/23/22,United States,Denver,Insurance,"CMFG Ventures, Accomplice, Moderne Ventures"
People.ai,1.1,8/11/21,United States,San Francisco,Enterprise Tech,"GGV Capital, Lightspeed Venture Partners, ICONIQ Capital"
Karat,1.1,10/13/21,United States,Seattle,Enterprise Tech,"8VC, Norwest Venture Partners, Tiger Global Management"
Daily Harvest,1.1,11/16/21,United States,New York,Consumer & Retail,"M13, Lightspeed Venture Partners, Lone Pine Capital"
Fundbox,1.1,11/30/21,United States,San Francisco,Financial Services,"Khosla Ventures, General Catalyst, Blumberg Capital"
Turing,1.1,12/20/21,United States,Palo Alto,Enterprise Tech,"Foundation Capital, Frontier Ventures, AltaIR Capital"
Beyond Identity,1.1,2/22/22,United States,New York,Enterprise Tech,"New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners"
Chief,1.1,3/31/22,United States,New York,Consumer & Retail,"General Catalyst, Inspired Capital, Flybridge Capital Partners"
IntelyCare,1.1,4/6/22,United States,Quincy,Healthcare & Life Sciences,"Kaiser Permanente Ventures, Endeavour Vision, LRVHealth"
Teleport,1.1,5/3/22,United States,Oakland,Enterprise Tech,"Kleiner Perkins Caufield & Byers, s28 Capital, Insight Partners"
Imply Data,1.1,5/17/22,United States,Burlingame,Enterprise Tech,"Andreessen Horowitz, Bessemer Venture Partners, Khosla Ventures,"
Material Security,1.1,5/11/22,United States,Redwood City,Enterprise Tech,"Andreessen Horowitz, Founders Fund"
CAIS,1.1,1/11/22,United States,New York,Financial Services,"Franklin Templeton, Motive Partners. Apollo Global Management"
Cirkul,1.1,6/13/22,United States,Sarasota,Consumer & Retail,"AF Ventures, Siddhi Capital, SC.Holdings"
0x,1.1,4/26/22,United States,San Francisco,Financial Services,"Jump Capital, Pantera Capital, Greylock Partners"
Instabase,2,10/21/19,United States,San Francisco,Enterprise Tech,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz"
Sendbird,1.1,4/6/21,United States,San Mateo,Enterprise Tech,"FundersClub, Y Combinator, Tiger Global Management"
Density,1.1,11/10/21,United States,San Francisco,Enterprise Tech,"Founders Fund, Upfront Ventures, 01 Advisors"
Mixpanel,1.1,11/15/21,United States,San Francisco,Enterprise Tech,"Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital"
Branch,1.1,3/1/22,United States,Columbus,Insurance,"American Family Ventures, Greycroft, SignalFire"
Ample,1,11/11/21,United States,San Francisco,Industrials,"Shell Ventures, Blackstone, Moore Strategic Ventures"
Wheel,1,1/19/22,United States,Austin,Healthcare & Life Sciences,"Silverton Partners, Tusk Ventures, CRV"
EvenUp,1,10/8/24,United States,San Francisco,Enterprise Tech,"NFX, Lightspeed Venture Partners, Bessemer Venture Partners"
Kiteworks,1,8/14/24,United States,Palo Alto,Enterprise Tech,
Ayar Labs,1,12/11/24,United States,San Jose,Industrials,"Intel Capital, Founders Fund, Playground Global"
Rentberry,1,9/6/24,United States,San Francisco,Financial Services,"369 Growth Partners, GTM Capital, Berkeley Hills Capital"
Vestwell,1,12/21/23,United States,New York,Financial Services,"Fin Capital, Primary Venture Partners, Lightspeed Venture Partners"
Speak,1,12/10/24,United States,San Francisco,Enterprise Tech,"Khosla Ventures, OpenAI Startup Fund, Founders Fund"
Nimble,1,10/23/24,United States,San Francisco,Industrials,"GSR Ventures, Breyer Capital, Accel"
Halcyon,1,11/25/24,United States,Austin,Enterprise Tech,"Bain Capital Ventures, SYN Ventures, Evolution Equity Partners"
VectorBuilder,1,10/10/22,United States,Chicago,Healthcare & Life Sciences,Legend Capital
EliseAI,1,8/14/24,United States,New York,Enterprise Tech,"Navitas Capital, Point72 Ventures, JLL Spark"
The Row,1,9/12/24,United States,New York,Consumer & Retail,
Cosm,1,7/31/24,United States,Los Angeles,Media & Entertainment,Bolt Ventures
Minute Media,1,1/30/24,United States,New York,Media & Entertainment,"Dawn Capital, Battery Ventures, Gemini Israel Ventures"
World Labs,1,7/17/24,United States,Stanford,Enterprise Tech,"Andreessen Horowitz, Radical Ventures, New Enterprise Associates"
Merkle Manufactory,1,3/30/24,United States,Los Angeles,Media & Entertainment,"Standard Crypto, Andreessen Horowitz, Union Square Ventures"
Saronic Technologies,1,7/19/24,United States,Austin,Industrials,"8VC, Caffeinated Capital, Andreessen Horowitz"
Aven,1,7/17/24,United States,San Fransisco,Financial Services,"Khosla Ventures, General Catalyst, Founders Fund"
Semperis,1,6/20/24,United States,Hoboken,Enterprise Tech,"Tech Pioneers Fund, Ten Eleven Ventures, Hudson Ventures"
EmployerDirect Healthcare,1,12/19/23,United States,Dallas,Healthcare & Life Sciences,"Insight Partners, Texo Ventures"
Electric Hydrogen,1,10/3/23,United States,Natick,Industrials,"Prelude Ventures, Breakthrough Energy Ventures, Fifth Wall"
Altana AI,1,7/29/24,United States,New York,Enterprise Tech,"Google Ventures, Amadeus Capital Partners, Activate Capital"
MaintainX,1,12/6/23,United States,San Fransisco,Enterprise Tech,"August Capital, Ridge Ventures, Amity Ventures"
Avenue One,1,5/15/23,United States,New York,Financial Services,
Typeface,1,6/29/23,United States,Los Altos,Enterprise Tech,"Google Ventures, Salesforce Ventures, Menlo Ventures"
Imbue,1,9/7/23,United States,San Francisco,Enterprise Tech,
Restaurant365,1,5/19/23,United States,Irvine,Consumer & Retail,Bessemer Venture Partners
Kin,1,9/13/23,United States,Chicago,Insurance,"QED Investors, Commerce Ventures, Alpha Edison"
KoBold Metals,1,6/20/23,United States,Berkeley,Industrials,"Andreessen Horowitz, Breakthrough Energy Ventures, Apollo Projects"
Gradiant,1,5/17/23,United States,Woburn,Industrials,"Safar Partners, WAVE Equity Partners, Cranberry Capital"
Palmetto,1,2/24/22,United States,Charleston,Industrials,"Greycroft, Lerer Hippeau, ArcTern Ventures"
Prove Identity,1,6/18/20,United States,New York,Enterprise Tech,"Opus Capital, RRE Ventures, Relay Ventures"
Character.AI,1,3/3/23,United States,Menlo Park,Media & Entertainment,Andreessen Horowitz
Atmosphere,1,2/7/23,United States,Austin,Media & Entertainment,S3 Ventures
Adept,1,3/14/23,United States,San Francisco,Enterprise Tech,"Greylock Partners, Addition, M12"
Flow,1,8/15/22,United States,New York,Financial Services,Andreessen Horowitz
Paystand,1,8/2/22,United States,Scotts Valley,Financial Services,"BlueRun Ventures, LEAP Global Partners, Cervin Ventures"
Turntide Technologies,1,6/15/22,United States,Sunnyvale,Industrials,"Meson Capital Partners, Fifth Wall Ventures, OGCI Climate Investments"
Lookout,1,10/10/13,United States,San Francisco,Enterprise Tech,"Accel Partners, Greylock Partners, Lowercase Capital"
TechStyle Fashion Group,1,8/29/14,United States,El Segundo,Consumer & Retail,"Matrix Partners, Passport Capital, Rho Ventures"
Zebec,1,8/29/22,United States,San Francisco,Financial Services,"Resolute Ventures, Shima Capital, Circle Ventures"
Red Ventures,1,1/7/15,United States,Fort Mill,Media & Entertainment,"Silver Lake Partners, General Atlantic"
Kendra Scott,1,12/21/16,United States,Austin,Consumer & Retail,"Berkshire Partners, Norwest Venture Partners"
Modernizing Medicine,1,5/10/17,United States,Boca Raton,Healthcare & Life Sciences,"Warburg Pincus, Summit Partners, Sands Capital"
Pat McGrath Labs,1,7/16/18,United States,New York,Consumer & Retail,"One Luxury Group, Eurazeo"
Tresata,1,10/10/18,United States,Charlotte,Financial Services,GCP Capital Partners
REEF Technology,1,12/10/18,United States,Miami,Industrials,"Target Global, UBS Asset Management, Mubadala Capital"
Globality,1,1/22/19,United States,Menlo Park,Enterprise Tech,SoftBank Group
C2FO,1,8/7/19,United States,Leawood,Financial Services,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management"
Quizlet,1,5/13/20,United States,San Francisco,Consumer & Retail,"Union Square Ventures, Altos Ventures, Costanoa Ventures"
Orca Bio,1,6/17/20,United States,Menlo Park,Healthcare & Life Sciences,"Lightspeed Venture Partners, Data Collective, 8VC"
Zwift,1,9/16/20,United States,Long Beach,Healthcare & Life Sciences,"Novator Partners, True, Causeway Media Partners"
Alation,1.7,6/3/21,United States,Redwood City,Enterprise Tech,"Costanoa Ventures, Data Collective, Salesforce Ventures"
Boom Supersonic,1,12/16/20,United States,Englewood,Industrials,"WRVI Capital, Caffeinated Capital, Y Combinator"
Quantum Metric,1,1/7/21,United States,Colorado Springs,Enterprise Tech,"Insight Partners, Bain Capital Ventures"
News Break,1,1/7/21,United States,Mountain View,Media & Entertainment,"IDG Capital, Francisco Partners, ZhenFund"
Splashtop,1,1/27/21,United States,San Jose,Enterprise Tech,"Storm Ventures, DFJ DragonFund, New Enterprise Associates"
Axiom Space,1,2/16/21,United States,Houston,Industrials,"C5 Capital, Hemisphere Ventures, The Venture Collective"
Locus Robotics,1,2/17/21,United States,Wilmington,Industrials,"Scale Venture Partners, Bond, Tiger Global Management"
Standard AI,1,2/17/21,United States,San Francisco,Consumer & Retail,"CRV, Y Combinator, Initialized Capital"
Newsela,1,2/25/21,United States,New York,Consumer & Retail,"Owl Ventures, Technology Crossover Ventures, Tao Capital Partners"
Evidation,1,3/22/21,United States,San Mateo,Healthcare & Life Sciences,"B Capital Group,, GE Ventures, McKesson Ventures"
Sidecar Health,1,1/26/21,United States,El Segundo,Healthcare & Life Sciences,"GreatPoint Ventures, Tiger Global Management, Menlo Ventures"
Feedzai,1,3/24/21,United States,San Mateo,Financial Services,"Global Founders Capital, Shea Ventures, Greycroft"
Cameo,1,3/30/21,United States,Chicago,Media & Entertainment,"Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures"
The Zebra,1,4/12/21,United States,Austin,Insurance,"Silverton Partners, Accel, Ballast Point Ventures"
Injective,1,4/20/21,United States,New York,Financial Services,"Pantera Capital, Cadenza Ventures, BlockTower Capital"
Sift,1,4/22/21,United States,San Francisco,Enterprise Tech,"Union Square Ventures, Insight Partners, Spark Capital"
Capsule,1,4/28/21,United States,New York,Healthcare & Life Sciences,"Thrive Capital, Durable Capital Partners, G Squared"
MOLOCO,1.5,4/29/21,United States,Redwood City,Enterprise Tech,"Smilegate Investment, DSC Investments, KTB Ventures"
Inari,1.7,5/12/21,United States,Cambridge,Industrials,"Flagship Pioneering, Alexandria Venture Investments, Investment Corporation of Dubai"
Mux,1,4/30/21,United States,San Francisco,Media & Entertainment,"Accel, Cobalt Capital, Andreessen Horowitz"
Forte Labs,1.7,5/12/21,United States,San Francisco,Media & Entertainment,"Iris Capital, Accel, Elaia Partners"
Axtria,1,5/13/21,United States,Berkeley Heights,Enterprise Tech,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India"
Amount,1,5/17/21,United States,Chicago,Financial Services,"Invus Group, Hanaco Venture Capital, WestCap Group"
Vise,1,5/18/21,United States,New York,Financial Services,"Sequoia Capital, Founders Fund, Bling Capital"
Printful,1,5/24/21,United States,Charlotte,Consumer & Retail,Bregal Sagemount
Shippo,1,6/2/21,United States,San Francisco,Industrials,"Version One Ventures, Uncork Capital, Bessemer Venture Partners"
Thirty Madison,1,6/2/21,United States,New York,Healthcare & Life Sciences,"Northzone Ventures, Maveron, Johnson & Johnson Innovation"
Worldcoin,1,6/29/21,United States,San Francisco,Financial Services,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz"
SmartAsset,1,6/24/21,United States,New York,Financial Services,"Javelin Venture Partners, TTV Capital, Peterson Ventures"
Morning Consult,1,6/8/21,United States,Washington DC,Enterprise Tech,"Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems"
ShipBob,1,6/29/21,United States,Chicago,Consumer & Retail,"Hyde Park Venture Partners, FundersClub. Bain Capital Ventures"
MobileCoin,1.1,7/7/21,United States,San Francisco,Financial Services,"General Catalyst, Future Ventures, AU21"
Amperity,1,7/13/21,United States,Seattle,Enterprise Tech,"Madrona Venture Group, Tiger Global Management, Madera Technology Partners"
Pantheon Systems,1,7/13/21,United States,San Francisco,Enterprise Tech,"Foundry Group, Scale Venture Partners, SoftBank Group"
Carson Group,1,7/14/21,United States,Lincoln,Financial Services,Bain Capital
Bluecore,1,8/5/21,United States,New York,Consumer & Retail,"FirstMark Capital, Georgian Partners, Norwest Venture Partners"
Snorkel AI,1,8/9/21,United States,Palo Alto,Enterprise Tech,"Greylock Partners, Google Ventures, BlackRock"
Maven,1.7,8/17/21,United States,New York,Healthcare & Life Sciences,"Female Founders Fund, Oak HC/FT Partners, Sequoia Capital"
PicsArt,1,8/26/21,United States,San Francisco,Media & Entertainment,"Sequoia Capital, DCM Ventures, Insight Partners"
Mammoth Biosciences,1,9/9/21,United States,Brisbane,Healthcare & Life Sciences,"NFX, Plum Alley, Mayfield"
Orchard,1,9/9/21,United States,New York,Financial Services,"Accomplice, Juxtapose, FirstMark Capital"
Assembly,1,9/21/21,United States,Culver City,Consumer & Retail,"Advent International, PSG, Providence Equity Partners"
PandaDoc,1,9/22/21,United States,San Francisco,Enterprise Tech,"Rembrandt Venture Partners, M12, Altos Ventures"
Formation Bio,1,9/30/21,United States,New York,Healthcare & Life Sciences,"Sequoia Capital, Thrive Capital, Sound Ventures"
Masterworks,1,10/5/21,United States,New York,Financial Services,"Left Lane Capital, Galaxy Interactive, Tru Arrow Partners"
Chronosphere,1,10/7/21,United States,New York,Enterprise Tech,"Greylock Partners, Lux Capital, General Atlantic"
Solo.io,1,10/7/21,United States,Cambridge,Enterprise Tech,"True Ventures, Altimeter Capital, Redpoint Ventures"
Savage X Fenty,1,2/10/21,United States,El Segundo,Consumer & Retail,"Speedinvest, Valar Ventures, Uniqa Ventures"
Weights & Biases,1.3,10/13/21,United States,San Francisco,Enterprise Tech,"Coatue Management, Insight Partners, Trinity Ventures"
Fabric,1,10/26/21,United States,New York,Consumer & Retail,"Innovation Endeavors, Aleph, Temasek"
Augury,1,10/26/21,United States,New York,Industrials,"Lerer Hippeau, Munich Re Ventures, Eclipse Ventures"
Vagaro,1,11/3/21,United States,Dublin,Consumer & Retail,FTV Capital
Contrast Security,1,11/9/21,United States,Los Altos,Enterprise Tech,"Acero Capital, General Catalyst, M12"
Wrapbook,1,11/10/21,United States,New York,Media & Entertainment,"Equal Ventures, Uncork Capital, Andreessen Horowitz"
PLACE,1,11/17/21,United States,Bellingham,Financial Services,"Goldman Sachs Asset Management, 3L"
Stytch,1,11/18/21,United States,San Francisco,Enterprise Tech,"Index Ventures, Benchmark, Thrive Capital"
Owkin,1,11/18/21,United States,New York,Healthcare & Life Sciences,"Google Ventures, Cathay Innovation, NJF Capital"
Expel,1,11/18/21,United States,Herndon,Enterprise Tech,"Paladin Capital Group, Greycroft, Scale Venture Partners"
Lessen,1,11/30/21,United States,Scottsdale,Financial Services,"Khosla Ventures, General Catalyst, Navitas Capital"
YipitData,1,12/6/21,United States,New York,Enterprise Tech,"RRE Ventures+, Highland Capital Partners, The Carlyle Group"
Anyscale,1,12/7/21,United States,Berkeley,Enterprise Tech,"Andreessen Horowitz, Intel Capital, Foundation Capital"
Iodine Software,1,12/1/21,United States,Austin,Healthcare & Life Sciences,"Advent International, Bain Capital Ventures, Silversmith Capital Partners"
ReliaQuest,1,12/1/21,United States,Tampa,Enterprise Tech,"KKR, FTV Capital, Ten Eleven Ventures"
Nature's Fynd,1,7/19/21,United States,Chicago,Consumer & Retail,"Danone Manifesto Ventures, 1955 Capital, Breakthrough Energy Ventures"
SnapLogic,1,12/13/21,United States,San Mateo,Enterprise Tech,"Andreessen Horowitz, Triangle Peak Partners, Ignition Partners"
Cadence,1,12/14/21,United States,New York,Healthcare & Life Sciences,"Thrive Capital, General Catalyst, Coatue Management"
Rothy's,1,12/21/21,United States,San Francisco,Consumer & Retail,"Alpargatas, GS Growth, Lightspeed Venture Partners"
Minio,1,1/26/22,United States,Palo Alto,Enterprise Tech,"General Catalyst, Nexus Venture Partners, Dell Technologies Capital"
Esusu,1,1/27/22,United States,New York,Financial Services,"Next Play Ventures, Zeal Capital Partners, SoftBank Group"
Watershed,1,2/8/22,United States,San Francisco,Enterprise Tech,"Kleiner Perkins Caufield & Byers, Sequoia Capital"
CHEQ,1,2/22/22,United States,New York,Enterprise Tech,"Battery Ventures, Tiger Global Management, Hanaco Ventures"
Timescale,1,2/22/22,United States,New York,Enterprise Tech,"New Enterprise Associates, Benchmark, Two Sigma Ventures"
Omada Health,1,2/23/22,United States,San Francisco,Healthcare & Life Sciences,"U.S. Venture Partners, dRx Capital, Andreessen Horowitz"
BlueVoyant,1,2/23/22,United States,New York,Enterprise Tech,"8VC, Liberty Strategic Capital, Eden Global Partners"
Vendr,1,2/24/22,United States,Boston,Enterprise Tech,"Craft Ventures, F-Prime Capital, Sound Ventures"
Gauntlet Networks,1,3/7/22,United States,New York,Financial Services,"Polychain Capital, Paradigm, Ribbit Capital"
Aptos,1,3/15/22,United States,Palo Alto,Enterprise Tech,"Andreessen Horowitz, Coinbase Ventures, Tiger Global Management"
Glia,1,3/21/22,United States,New York,Enterprise Tech,"Wildcat Capital Management, Insight Partners, Tola Capital"
CommerceIQ,1,3/21/22,United States,Palo Alto,Consumer & Retail,"Trinity Ventures, Madrona Venture Group, Shasta Ventures"
Tarana Wireless,1,3/23/22,United States,Milpitas,Industrials,"Prime Movers Lab, Khosla Ventures, I Squared Capital"
FLASH,1,3/16/22,United States,Austin,Industrials,"L Catterton, Trellis Partners, Vista Equity Partners"
Electric,1,3/29/22,United States,New York,Enterprise Tech,"Primary Venture Partners, Bessemer Venture Partners, Harmonic Growth Partners"
BostonGene,1,4/6/22,United States,Waltham,Healthcare & Life Sciences,"Japan Industrial Partners, Impact Investment Capital, NEC"
Genies,1,4/12/22,United States,Venice,Media & Entertainment,"New Enterprise Associates, Tull Investment Group, Silver Lake"
NexHealth,1,4/21/22,United States,San Francisco,Healthcare & Life Sciences,"iSeed Ventures, Point Nine Capital, Buckley Ventures"
UPSIDE Foods,1,4/21/22,United States,Berkeley,Consumer & Retail,"Battery Ventures, Adams Street Partners, Coatue Management"
Divergent 3D,1,4/25/22,United States,Torrance,Industrials,"Hedosophia, Horizons Ventures, Alumni Ventures Group"
CareBridge,1,6/8/22,United States,Nashville,Healthcare & Life Sciences,"Bain Capital Ventures, Splunk Ventures, Cisco Investments"
Immuta,1,6/8/22,United States,Boston,Enterprise Tech,"DFJ Growth Fund, Dell Technologies Capital, Ten Eleven Ventures"
JupiterOne,1,6/2/22,United States,Morrisville,Enterprise Tech,"Bain Capital Ventures, Splunk Ventures, Cisco Investments"
FourKites,1,6/21/22,United States,Chicago,Enterprise Tech,"Hyde Park Venture Partners, Bain Capital Ventures, Hyde Park Angels"
